Sub-Event Matches
German Open Bayreuth 2001


Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	German Open Bayreuth 2001	BLASZCZYK Lucjan (POL)		PLACHY Josef (CZE)		MS	Main Draw	R64	4 - 3	11:8 3:11 11:8 11:4 9:11 9:11 11:9	BLASZCZYK Lucjan	
2001	German Open Bayreuth 2001	TOKIC Bojan (SLO)		KEEN Trinko (NED)		MS	Main Draw	R64	2 - 4	11:8 8:11 10:12 10:12 11:7 4:11	KEEN Trinko	
2001	German Open Bayreuth 2001	WOSIK Torben (GER)		LIU Song (ARG)		MS	Main Draw	R64	4 - 3	9:11 11:8 10:12 11:9 7:11 11:8 11:8	WOSIK Torben	
2001	German Open Bayreuth 2001	ERLANDSEN Geir (NOR)		PRIMORAC Zoran (CRO)		MS	Main Draw	R64	0 - 4	3:11 1:11 10:12 9:11	PRIMORAC Zoran	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		VARIN Eric (FRA)		MS	Main Draw	R32	4 - 0	11:2 11:5 11:8 11:4	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	FRANZ Peter (GER)		SHMYREV Maxim (RUS)		MS	Main Draw	R32	3 - 4	9:11 11:6 9:11 11:8 11:9 9:11 6:11	SHMYREV Maxim	
2001	German Open Bayreuth 2001	OH Sangeun (KOR)		KUZMIN Fedor (RUS)		MS	Main Draw	R32	4 - 0	11:6 11:4 11:7 11:7	OH Sangeun	
2001	German Open Bayreuth 2001	SMIRNOV Alexey (RUS)		ROSSKOPF Jorg (GER)		MS	Main Draw	R32	4 - 0	11:9 11:5 11:9 11:9	SMIRNOV Alexey	
2001	German Open Bayreuth 2001	KORBEL Petr (CZE)		KUSINSKI Marcin (POL)		MS	Main Draw	R32	4 - 1	8:11 11:8 11:6 11:6 11:4	KORBEL Petr	
2001	German Open Bayreuth 2001	KARAKASEVIC Aleksandar (SRB)		BOLL Timo (GER)		MS	Main Draw	R32	1 - 4	8:11 11:5 10:12 6:11 9:11	BOLL Timo	
2001	German Open Bayreuth 2001	CHUANG Chih-Yuan (TPE)		KIM Gunhwan (KOR)		MS	Main Draw	R32	4 - 0	11:3 13:11 11:6 11:9	CHUANG Chih-Yuan	
2001	German Open Bayreuth 2001	KRZESZEWSKI Tomasz (POL)		WALDNER Jan-Ove (SWE)		MS	Main Draw	R32	2 - 4	11:13 11:8 4:11 8:11 11:8 9:11	WALDNER Jan-Ove	
2001	German Open Bayreuth 2001	SCHLAGER Werner (AUT)		RYU Seungmin (KOR)		MS	Main Draw	R32	4 - 2	14:12 9:11 11:6 11:13 11:6 11:5	SCHLAGER Werner	
2001	German Open Bayreuth 2001	SAIVE Philippe (BEL)		FEJER-KONNERTH Zoltan (GER)		MS	Main Draw	R32	4 - 1	11:7 8:11 11:6 12:10 11:4	SAIVE Philippe	
2001	German Open Bayreuth 2001	CHILA Patrick (FRA)		ELOI Damien (FRA)		MS	Main Draw	R32	4 - 3	11:9 14:12 9:11 10:12 4:11 11:4 11:7	CHILA Patrick	
2001	German Open Bayreuth 2001	BENTSEN Allan (DEN)		MA Wenge (CHN)		MS	Main Draw	R32	0 - 4	7:11 9:11 7:11 9:11	MA Wenge	
2001	German Open Bayreuth 2001	PERSSON Jorgen (SWE)		BRATANOV Martin (BEL)		MS	Main Draw	R32	4 - 3	5:11 10:12 5:11 11:8 11:7 11:5 11:9	PERSSON Jorgen	
2001	German Open Bayreuth 2001	CHEN Weixing (AUT)		KREANGA Kalinikos (GRE)		MS	Main Draw	R32	1 - 4	6:11 9:11 11:9 8:11 3:11	KREANGA Kalinikos	
2001	German Open Bayreuth 2001	BLASZCZYK Lucjan (POL)		KEEN Trinko (NED)		MS	Main Draw	R32	4 - 3	6:11 11:7 8:11 11:6 10:12 11:8 11:7	BLASZCZYK Lucjan	
2001	German Open Bayreuth 2001	WOSIK Torben (GER)		PRIMORAC Zoran (CRO)		MS	Main Draw	R32	4 - 3	11:9 8:11 4:11 11:9 11:6 6:11 11:8	WOSIK Torben	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		SHMYREV Maxim (RUS)		MS	Main Draw	R16	4 - 0	11:9 11:6 11:9 11:5	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	OH Sangeun (KOR)		SMIRNOV Alexey (RUS)		MS	Main Draw	R16	4 - 2	11:2 7:11 11:5 13:15 11:8 11:6	OH Sangeun	
2001	German Open Bayreuth 2001	KORBEL Petr (CZE)		BOLL Timo (GER)		MS	Main Draw	R16	2 - 4	11:4 8:11 4:11 11:5 9:11 4:11	BOLL Timo	
2001	German Open Bayreuth 2001	CHUANG Chih-Yuan (TPE)		WALDNER Jan-Ove (SWE)		MS	Main Draw	R16	3 - 4	11:8 11:6 5:11 6:11 3:11 11:6 11:13	WALDNER Jan-Ove	
2001	German Open Bayreuth 2001	SCHLAGER Werner (AUT)		SAIVE Philippe (BEL)		MS	Main Draw	R16	4 - 2	5:11 5:11 11:9 11:9 11:9 11:7	SCHLAGER Werner	
2001	German Open Bayreuth 2001	CHILA Patrick (FRA)		MA Wenge (CHN)		MS	Main Draw	R16	4 - 1	11:8 5:11 11:4 13:11 11:9	CHILA Patrick	
2001	German Open Bayreuth 2001	PERSSON Jorgen (SWE)		KREANGA Kalinikos (GRE)		MS	Main Draw	R16	1 - 4	9:11 8:11 11:8 10:12 11:13	KREANGA Kalinikos	
2001	German Open Bayreuth 2001	BLASZCZYK Lucjan (POL)		WOSIK Torben (GER)		MS	Main Draw	R16	4 - 2	11:6 11:7 11:3 6:11 10:12 11:6	BLASZCZYK Lucjan	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		OH Sangeun (KOR)		MS	Main Draw	QuarterFinal	4 - 2	15:13 11:13 11:3 12:10 4:11 11:4	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	BOLL Timo (GER)		WALDNER Jan-Ove (SWE)		MS	Main Draw	QuarterFinal	3 - 4	5:11 11:2 5:11 11:6 6:11 11:6 9:11	WALDNER Jan-Ove	
2001	German Open Bayreuth 2001	SCHLAGER Werner (AUT)		CHILA Patrick (FRA)		MS	Main Draw	QuarterFinal	4 - 1	11:6 9:11 11:9 11:3 11:7	SCHLAGER Werner	
2001	German Open Bayreuth 2001	KREANGA Kalinikos (GRE)		BLASZCZYK Lucjan (POL)		MS	Main Draw	QuarterFinal	1 - 4	2:11 7:11 11:4 7:11 6:11	BLASZCZYK Lucjan	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		WALDNER Jan-Ove (SWE)		MS	Main Draw	SemiFinal	4 - 0	11:7 11:2 11:6 11:6	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	SCHLAGER Werner (AUT)		BLASZCZYK Lucjan (POL)		MS	Main Draw	SemiFinal	4 - 2	9:11 13:11 8:11 15:13 11:5 12:10	SCHLAGER Werner	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		SCHLAGER Werner (AUT)		MS	Main Draw	Final	4 - 0	11:6 11:8 12:10 11:4	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	KARAKASEVIC Aleksandar (SRB)		STEPHAN Gabriel (GER)		MS	Qualification		4 - 0	11:6 14:12 11:7 12:10	KARAKASEVIC Aleksandar	
2001	German Open Bayreuth 2001	KARAKASEVIC Aleksandar (SRB)		DELOBBE Damien (BEL)		MS	Qualification		4 - 1	6:11 17:15 11:9 11:7 11:7	KARAKASEVIC Aleksandar	
2001	German Open Bayreuth 2001	STEPHAN Gabriel (GER)		DELOBBE Damien (BEL)		MS	Qualification		2 - 4	11:8 5:11 8:11 11:7 5:11 10:12	DELOBBE Damien	
2001	German Open Bayreuth 2001	LIU Song (ARG)		PAPAGEORGIOU Konstantinos (GRE)		MS	Qualification		4 - 2	11:7 11:4 11:8 9:11 11:13 11:5	LIU Song	
2001	German Open Bayreuth 2001	LIU Song (ARG)		CARNEROS Alfredo (ESP)		MS	Qualification		4 - 0	11:7 11:8 11:7 11:6	LIU Song	
2001	German Open Bayreuth 2001	PAPAGEORGIOU Konstantinos (GRE)		CARNEROS Alfredo (ESP)		MS	Qualification		0 - 4	7:11 8:11 2:11 14:16	CARNEROS Alfredo	
2001	German Open Bayreuth 2001	KRZESZEWSKI Tomasz (POL)		CAENARO Sandro (LUX)		MS	Qualification		4 - 1	11:5 11:5 11:13 11:7 11:7	KRZESZEWSKI Tomasz	
2001	German Open Bayreuth 2001	KRZESZEWSKI Tomasz (POL)		BYKOV Viktor (BLR)		MS	Qualification		4 - 0	11:9 11:7 11:3 11:5	KRZESZEWSKI Tomasz	
2001	German Open Bayreuth 2001	CAENARO Sandro (LUX)		BYKOV Viktor (BLR)		MS	Qualification		0 - 4	4:11 7:11 8:11 7:11	BYKOV Viktor	
2001	German Open Bayreuth 2001	SMIRNOV Alexey (RUS)		GORAK Daniel (POL)		MS	Qualification		4 - 0	11:4 11:7 11:7 11:9	SMIRNOV Alexey	
2001	German Open Bayreuth 2001	SMIRNOV Alexey (RUS)		MAIER Christoph (AUT)		MS	Qualification		4 - 0	11:9 11:7 11:7 11:8	SMIRNOV Alexey	
2001	German Open Bayreuth 2001	GORAK Daniel (POL)		MAIER Christoph (AUT)		MS	Qualification		4 - 3	11:13 9:11 12:10 11:6 11:8 4:11 11:9	GORAK Daniel	
2001	German Open Bayreuth 2001	TSIOKAS Ntaniel (GRE)		CSABA Bence (CAN)		MS	Qualification		4 - 2	11:4 11:4 9:11 9:11 11:8 11:7	TSIOKAS Ntaniel	
2001	German Open Bayreuth 2001	TSIOKAS Ntaniel (GRE)		KOSOWSKI Jakub (POL)		MS	Qualification		4 - 2	5:11 11:3 7:11 11:3 11:4 11:6	TSIOKAS Ntaniel	
2001	German Open Bayreuth 2001	CSABA Bence (CAN)		KOSOWSKI Jakub (POL)		MS	Qualification		0 - 4	8:11 9:11 7:11 6:11	KOSOWSKI Jakub	
2001	German Open Bayreuth 2001	CHTCHETININE Evgueni (BLR)		ROBERTSON Adam (WAL)		MS	Qualification		4 - 0	11:8 11:3 11:7 11:8	CHTCHETININE Evgueni	
2001	German Open Bayreuth 2001	CHTCHETININE Evgueni (BLR)		KOSTAL Radek (CZE)		MS	Qualification		4 - 0	11:1 11:0 11:0 11:0	CHTCHETININE Evgueni	
2001	German Open Bayreuth 2001	ROBERTSON Adam (WAL)		KOSTAL Radek (CZE)		MS	Qualification		2 - 4	11:9 8:11 7:11 4:11 11:9 9:11	KOSTAL Radek	
2001	German Open Bayreuth 2001	PODPINKA Andras (BEL)		HUBBARD Andrew (NZL)		MS	Qualification		4 - 0	11:9 11:4 11:7 11:9	PODPINKA Andras	
2001	German Open Bayreuth 2001	PODPINKA Andras (BEL)		MARKOVIC Rade (SRB)		MS	Qualification		4 - 2	11:6 11:9 13:15 12:10 6:11 11:9	PODPINKA Andras	
2001	German Open Bayreuth 2001	HUBBARD Andrew (NZL)		MARKOVIC Rade (SRB)		MS	Qualification		1 - 4	5:11 11:9 5:11 5:11 8:11	MARKOVIC Rade	
2001	German Open Bayreuth 2001	KUSINSKI Marcin (POL)		VUKELIC Boris (SRB)		MS	Qualification		4 - 1	11:6 11:7 11:13 11:3 11:4	KUSINSKI Marcin	
2001	German Open Bayreuth 2001	KUSINSKI Marcin (POL)		BARDON Michal (SVK)		MS	Qualification		4 - 2	13:11 8:11 12:14 11:9 15:13 11:8	KUSINSKI Marcin	
2001	German Open Bayreuth 2001	VUKELIC Boris (SRB)		BARDON Michal (SVK)		MS	Qualification		1 - 4	5:11 3:11 4:11 11:9 5:11	BARDON Michal	
2001	German Open Bayreuth 2001	HIELSCHER Lars (GER)		JANSSENS Tim (BEL)		MS	Qualification		4 - 0	11:1 11:4 14:12 11:8	HIELSCHER Lars	
2001	German Open Bayreuth 2001	HIELSCHER Lars (GER)		GONZALES Raymond (NOR)		MS	Qualification		4 - 1	8:11 12:10 11:5 11:9 11:5	HIELSCHER Lars	
2001	German Open Bayreuth 2001	JANSSENS Tim (BEL)		GONZALES Raymond (NOR)		MS	Qualification		1 - 4	10:12 11:8 5:11 5:11 8:11	GONZALES Raymond	
2001	German Open Bayreuth 2001	SHMYREV Maxim (RUS)		PRESSLMAYER Bernhard (AUT)		MS	Qualification		4 - 1	11:3 10:12 11:9 11:8 11:6	SHMYREV Maxim	
2001	German Open Bayreuth 2001	SHMYREV Maxim (RUS)		SURBEK Dragutin (CRO)		MS	Qualification		4 - 1	11:5 13:11 12:10 8:11 11:9	SHMYREV Maxim	
2001	German Open Bayreuth 2001	PRESSLMAYER Bernhard (AUT)		SURBEK Dragutin (CRO)		MS	Qualification		4 - 3	4:11 10:12 17:15 9:11 11:9 11:8 11:5	PRESSLMAYER Bernhard	
2001	German Open Bayreuth 2001	MONRAD Martin (DEN)		SEREDA Peter (SVK)		MS	Qualification		0 - 4	7:11 7:11 7:11 8:11	SEREDA Peter

2001	German Open Bayreuth 2001	MONRAD Martin (DEN)		YOON Jaeyoung (KOR)		MS	Qualification		1 - 4	3:11 13:15 8:11 13:11 5:11	YOON Jaeyoung	
2001	German Open Bayreuth 2001	SEREDA Peter (SVK)		YOON Jaeyoung (KOR)		MS	Qualification		0 - 4	7:11 8:11 10:12 6:11	YOON Jaeyoung	
2001	German Open Bayreuth 2001	FEJER-KONNERTH Zoltan (GER)		KELLER Raphael (SUI)		MS	Qualification		4 - 0	11:6 11:9 11:4 11:5	FEJER-KONNERTH Zoltan	
2001	German Open Bayreuth 2001	FEJER-KONNERTH Zoltan (GER)		GREZO Martin (SVK)		MS	Qualification		4 - 1	12:10 6:11 11:5 11:6 14:12	FEJER-KONNERTH Zoltan	
2001	German Open Bayreuth 2001	KELLER Raphael (SUI)		GREZO Martin (SVK)		MS	Qualification		0 - 4	9:11 5:11 5:11 11:13	GREZO Martin	
2001	German Open Bayreuth 2001	BRATANOV Martin (BEL)		KRIVIC Jakov (CRO)		MS	Qualification		4 - 1	11:6 12:14 11:4 11:6 11:3	BRATANOV Martin	
2001	German Open Bayreuth 2001	BRATANOV Martin (BEL)		DEMETER Lehel (HUN)		MS	Qualification		4 - 1	11:2 11:6 11:13 11:5 11:7	BRATANOV Martin	
2001	German Open Bayreuth 2001	KRIVIC Jakov (CRO)		DEMETER Lehel (HUN)		MS	Qualification		2 - 4	10:12 2:11 9:11 11:3 11:4 8:11	DEMETER Lehel	
2001	German Open Bayreuth 2001	ERLANDSEN Geir (NOR)		DIAA Sherif (EGY)		MS	Qualification		4 - 0	11:7 13:11 11:8 11:2	ERLANDSEN Geir	
2001	German Open Bayreuth 2001	ERLANDSEN Geir (NOR)		SVENSSON Robert (SWE)		MS	Qualification		4 - 2	13:11 8:11 11:0 12:14 11:5 11:4	ERLANDSEN Geir	
2001	German Open Bayreuth 2001	DIAA Sherif (EGY)		SVENSSON Robert (SWE)		MS	Qualification		1 - 4	11:5 6:11 5:11 6:11 10:12	SVENSSON Robert	
2001	German Open Bayreuth 2001	VARIN Eric (FRA)		TOMASI Stefano (ITA)		MS	Qualification		4 - 1	5:11 11:4 11:9 11:4 11:9	VARIN Eric	
2001	German Open Bayreuth 2001	VARIN Eric (FRA)		JENKINS Ryan (WAL)		MS	Qualification		4 - 3	10:12 3:11 11:6 12:10 11:4 9:11 11:6	VARIN Eric	
2001	German Open Bayreuth 2001	TOMASI Stefano (ITA)		JENKINS Ryan (WAL)		MS	Qualification		1 - 4	4:11 12:10 7:11 10:12 6:11	JENKINS Ryan	
2001	German Open Bayreuth 2001	MONDELLO Massimiliano (ITA)		CHUMAKOU Dmitry (BLR)		MS	Qualification		4 - 2	11:9 12:10 8:11 11:5 13:15 11:7	MONDELLO Massimiliano	
2001	German Open Bayreuth 2001	MONDELLO Massimiliano (ITA)		SORENSEN Mads (DEN)		MS	Qualification		4 - 2	11:13 5:11 11:8 11:5 11:8 11:6	MONDELLO Massimiliano	
2001	German Open Bayreuth 2001	CHUMAKOU Dmitry (BLR)		SORENSEN Mads (DEN)		MS	Qualification		0 - 4	11:13 12:14 7:11 7:11	SORENSEN Mads	
2001	German Open Bayreuth 2001	LUNDQVIST Jens (SWE)		WEITZ Daniel (GER)		MS	Qualification		4 - 1	11:7 9:11 11:6 11:6 11:8	LUNDQVIST Jens	
2001	German Open Bayreuth 2001	LUNDQVIST Jens (SWE)		CLOSSET Marc (BEL)		MS	Qualification		4 - 2	9:11 11:2 15:13 11:7 6:11 11:3	LUNDQVIST Jens	
2001	German Open Bayreuth 2001	WEITZ Daniel (GER)		CLOSSET Marc (BEL)		MS	Qualification		1 - 4	9:11 14:12 4:11 8:11 6:11	CLOSSET Marc	
2001	German Open Bayreuth 2001	TOSIC Roko (CRO)		MOSELHY Emad (EGY)		MS	Qualification		4 - 1	11:8 7:11 11:7 12:10 11:7	TOSIC Roko	
2001	German Open Bayreuth 2001	TOSIC Roko (CRO)		QUENTEL Dorian (FRA)		MS	Qualification		4 - 2	11:7 9:11 11:6 6:11 11:9 11:8	TOSIC Roko	
2001	German Open Bayreuth 2001	MOSELHY Emad (EGY)		QUENTEL Dorian (FRA)		MS	Qualification		4 - 1	8:11 14:12 11:8 11:9 12:10	MOSELHY Emad	
2001	German Open Bayreuth 2001	STEGER Bastian (GER)		RUSHTON Andrew (ENG)		MS	Qualification		4 - 1	12:10 11:7 11:5 6:11 11:4	STEGER Bastian	
2001	German Open Bayreuth 2001	STEGER Bastian (GER)		VOZICKY Bohumil (CZE)		MS	Qualification		1 - 4	8:11 9:11 7:11 11:6 8:11	VOZICKY Bohumil	
2001	German Open Bayreuth 2001	RUSHTON Andrew (ENG)		VOZICKY Bohumil (CZE)		MS	Qualification		3 - 4	7:11 11:8 5:11 12:10 11:8 11:13 5:11	VOZICKY Bohumil	
2001	German Open Bayreuth 2001	PLACHY Josef (CZE)		JANSSENS Bram (BEL)		MS	Qualification		4 - 1	11:9 11:7 11:5 9:11 11:4	PLACHY Josef	
2001	German Open Bayreuth 2001	PLACHY Josef (CZE)		MARSI Marton (HUN)		MS	Qualification		4 - 3	8:11 17:15 12:10 11:5 7:11 10:12 11:8	PLACHY Josef	
2001	German Open Bayreuth 2001	JANSSENS Bram (BEL)		MARSI Marton (HUN)		MS	Qualification		1 - 4	9:11 3:11 3:11 11:6 2:11	MARSI Marton	
2001	German Open Bayreuth 2001	JIANG Weizhong (CRO)		ANSNES Eirik (NOR)		MS	Qualification		4 - 0	11:5 11:8 11:5 11:8	JIANG Weizhong	
2001	German Open Bayreuth 2001	JIANG Weizhong (CRO)		YOUNG Terry (ENG)		MS	Qualification		4 - 0	11:7 11:5 11:7 11:3	JIANG Weizhong	
2001	German Open Bayreuth 2001	ANSNES Eirik (NOR)		YOUNG Terry (ENG)		MS	Qualification		2 - 4	19:17 6:11 9:11 7:11 11:7 9:11	YOUNG Terry	
2001	German Open Bayreuth 2001	DUAN Yongjun (SGP)		BALL Andreas (GER)		MS	Qualification		2 - 4	10:12 11:8 8:11 7:11 11:4 8:11	BALL Andreas	
2001	German Open Bayreuth 2001	DUAN Yongjun (SGP)		CIOTI Constantin (ROU)		MS	Qualification		0 - 4	9:11 5:11 8:11 8:11	CIOTI Constantin	
2001	German Open Bayreuth 2001	BALL Andreas (GER)		CIOTI Constantin (ROU)		MS	Qualification		0 - 4	4:11 9:11 8:11 8:11	CIOTI Constantin	
2001	German Open Bayreuth 2001	TRUKSA Jaromir (SVK)		DAVID Petr (CZE)		MS	Qualification		4 - 1	11:8 11:6 11:6 3:11 11:7	TRUKSA Jaromir	
2001	German Open Bayreuth 2001	TRUKSA Jaromir (SVK)		MONTEIRO Thiago (BRA)		MS	Qualification		4 - 2	9:11 3:11 11:6 11:6 11:5 11:8	TRUKSA Jaromir	
2001	German Open Bayreuth 2001	DAVID Petr (CZE)		MONTEIRO Thiago (BRA)		MS	Qualification		1 - 4	11:5 7:11 4:11 11:13 5:11	MONTEIRO Thiago	
2001	German Open Bayreuth 2001	PIACENTINI Valentino (ITA)		FICKINGER David (LUX)		MS	Qualification		4 - 0	11:6 11:8 11:3 11:6	PIACENTINI Valentino	
2001	German Open Bayreuth 2001	PIACENTINI Valentino (ITA)		IGNJATOVIC Sasa (SLO)		MS	Qualification		4 - 2	11:9 11:9 5:11 14:12 10:12 11:9	PIACENTINI Valentino	
2001	German Open Bayreuth 2001	FICKINGER David (LUX)		IGNJATOVIC Sasa (SLO)		MS	Qualification		0 - 4	5:11 5:11 5:11 8:11	IGNJATOVIC Sasa	
2001	German Open Bayreuth 2001	TUGWELL Finn (DEN)		GAVLAS Antonin (CZE)		MS	Qualification		4 - 0	14:12 11:7 11:8 12:10	TUGWELL Finn	
2001	German Open Bayreuth 2001	TUGWELL Finn (DEN)		ZWICKL Daniel (HUN)		MS	Qualification		2 - 4	11:7 1:11 11:13 5:11 11:6 8:11	ZWICKL Daniel	
